"CIK","CompanyName","EIN","StateOfIncorp","FiscalYearEnd","Type","Act","FileNo","FilmNo","BusinessAddress","MailingAddress","Filings","Format","Description","Filing Date","File/Film Num.","Link"
"0001733354","Blackstone Tactical Opportunities Fund (LT Co-Invest) L.P.CIK#:0001733354 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001733354-18-000001 (33 Act)  Size: 11 KB","2018-03-13","","https://www.sec.gov/Archives/edgar/data/1733354/000173335418000001/0001733354-18-000001-index.htm"
"0001734345","Blackstone Property Partners Europe GR - C L.P.CIK#:0001734345 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001734345-18-000001 (33 Act)  Size: 19 KB","2018-03-13","","https://www.sec.gov/Archives/edgar/data/1734345/000173434518000001/0001734345-18-000001-index.htm"
"0001734346","Blackstone Property Partners Europe GR - G L.P.CIK#:0001734346 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001734346-18-000001 (33 Act)  Size: 19 KB","2018-03-13","","https://www.sec.gov/Archives/edgar/data/1734346/000173434618000001/0001734346-18-000001-index.htm"
"0001734789","Blackstone Property Partners Europe GR Feeder - G L.P.CIK#:0001734789 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001734789-18-000001 (33 Act)  Size: 19 KB","2018-03-23","","https://www.sec.gov/Archives/edgar/data/1734789/000173478918000001/0001734789-18-000001-index.htm"
"0001735625","Blackstone Infrastructure Partners F.3 (Lux) SCSpCIK#:0001735625 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001735625-21-000001 (33 Act)  Size: 14 KB","2021-11-10","","https://www.sec.gov/Archives/edgar/data/1735625/000173562521000001/0001735625-21-000001-index.htm"
"0001735625","Blackstone Infrastructure Partners F.3 (Lux) SCSpCIK#:0001735625 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001735625-18-000002 (33 Act)  Size: 12 KB","2018-06-25","","https://www.sec.gov/Archives/edgar/data/1735625/000173562518000002/0001735625-18-000002-index.htm"
"0001735627","Blackstone Infrastructure Partners F.2 L.P.CIK#:0001735627 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001735627-21-000001 (33 Act)  Size: 13 KB","2021-11-10","","https://www.sec.gov/Archives/edgar/data/1735627/000173562721000001/0001735627-21-000001-index.htm"
"0001735627","Blackstone Infrastructure Partners F.2 L.P.CIK#:0001735627 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001735627-18-000001 (33 Act)  Size: 16 KB","2018-06-25","","https://www.sec.gov/Archives/edgar/data/1735627/000173562718000001/0001735627-18-000001-index.htm"
"0001735629","Blackstone Infrastructure Partners F.1 L.P.CIK#:0001735629 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001735629-21-000001 (33 Act)  Size: 13 KB","2021-11-10","","https://www.sec.gov/Archives/edgar/data/1735629/000173562921000001/0001735629-21-000001-index.htm"
"0001735629","Blackstone Infrastructure Partners F.1 L.P.CIK#:0001735629 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001735629-18-000001 (33 Act)  Size: 16 KB","2018-06-25","","https://www.sec.gov/Archives/edgar/data/1735629/000173562918000001/0001735629-18-000001-index.htm"
"0001735632","Blackstone Infrastructure Partners L.P.CIK#:0001735632 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001735632-21-000001 (33 Act)  Size: 13 KB","2021-11-10","","https://www.sec.gov/Archives/edgar/data/1735632/000173563221000001/0001735632-21-000001-index.htm"
"0001735632","Blackstone Infrastructure Partners L.P.CIK#:0001735632 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001735632-18-000001 (33 Act)  Size: 16 KB","2018-06-25","","https://www.sec.gov/Archives/edgar/data/1735632/000173563218000001/0001735632-18-000001-index.htm"
"0001736073","Blackstone Property Partners Europe LO Feeder L.P.CIK#:0001736073 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001736073-18-000002 (33 Act)  Size: 19 KB","2018-04-04","","https://www.sec.gov/Archives/edgar/data/1736073/000173607318000002/0001736073-18-000002-index.htm"
"0001736085","Blackstone Property Partners Europe - LO L.P.CIK#:0001736085 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001736085-18-000001 (33 Act)  Size: 19 KB","2018-04-04","","https://www.sec.gov/Archives/edgar/data/1736085/000173608518000001/0001736085-18-000001-index.htm"
"0001739415","Blackstone York Partners II (Cayman) L.P.CIK#:0001739415 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001739415-18-000001 (33 Act)  Size: 14 KB","2018-05-08","","https://www.sec.gov/Archives/edgar/data/1739415/000173941518000001/0001739415-18-000001-index.htm"
"0001743604","Blackstone Oil & Gas, Inc.CIK#:0001743604 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06c Acc-no: 0001743604-18-000001 (33 Act)  Size: 6 KB","2018-06-14","","https://www.sec.gov/Archives/edgar/data/1743604/000174360418000001/0001743604-18-000001-index.htm"
